inference,topic,vocabulary,count
true,1,2,9e-06
true,1,3,0.042103
true,1,4,0.000726
true,1,6,0.224441
true,1,7,0.000952
true,1,9,6e-06
true,1,10,0.001577
true,1,11,1.6e-05
true,1,12,0.001644
true,1,14,0.666708
true,1,16,0.050121
true,1,17,0.002387
true,1,18,0.009163
true,1,20,0.000146
true,2,1,2e-06
true,2,4,0.991213
true,2,6,0.000202
true,2,9,0.000178
true,2,12,0.00292
true,2,13,0.004524
true,2,15,1e-05
true,2,16,1.3e-05
true,2,17,2e-06
true,2,18,0.000866
true,2,19,6.8e-05
true,3,2,0.00254
true,3,4,0.001913
true,3,7,0.665128
true,3,8,0.000118
true,3,9,0.010112
true,3,10,0.020661
true,3,12,2e-06
true,3,14,0.00043
true,3,15,4.3e-05
true,3,16,0.268496
true,3,19,0.013249
true,3,20,0.017307
true,4,5,0.109185
true,4,8,1e-05
true,4,9,9.4e-05
true,4,10,1e-06
true,4,12,0.881556
true,4,13,0.001219
true,4,14,0.000195
true,4,17,2.2e-05
true,4,18,0.00765
true,4,19,1.6e-05
true,4,20,5.2e-05
true,5,2,0.27564
true,5,3,0.510981
true,5,4,0.046348
true,5,5,0.002726
true,5,9,4e-06
true,5,10,6e-06
true,5,11,0.163254
true,5,15,0.00104
null,1,1,0.000151976
null,1,2,0.26459
null,1,3,0.483435
null,1,4,0.0700608
null,1,5,0.000151976
null,1,6,0.000151976
null,1,7,0.006231
null,1,8,0.000151976
null,1,9,0.000151976
null,1,10,0.006231
null,1,11,0.161246
null,1,12,0.006231
null,1,13,0.000151976
null,1,14,0.000151976
null,1,15,0.000151976
null,1,16,0.000151976
null,1,17,0.000151976
null,1,18,0.000151976
null,1,19,0.000151976
null,1,20,0.000151976
null,2,1,7.21501e-05
null,2,2,7.21501e-05
null,2,3,7.21501e-05
null,2,4,7.21501e-05
null,2,5,0.0909812
null,2,6,7.21501e-05
null,2,7,7.21501e-05
null,2,8,7.21501e-05
null,2,9,7.21501e-05
null,2,10,7.21501e-05
null,2,11,0.00440115
null,2,12,0.890404
null,2,13,7.21501e-05
null,2,14,0.00873016
null,2,15,7.21501e-05
null,2,16,7.21501e-05
null,2,17,7.21501e-05
null,2,18,0.00440115
null,2,19,7.21501e-05
null,2,20,7.21501e-05
null,3,1,0.000132626
null,3,2,0.0240053
null,3,3,0.00809019
null,3,4,0.69244
null,3,5,0.000132626
null,3,6,0.047878
null,3,7,0.000132626
null,3,8,0.000132626
null,3,9,0.000132626
null,3,10,0.000132626
null,3,11,0.00543767
null,3,12,0.000132626
null,3,13,0.00809019
null,3,14,0.196419
null,3,15,0.000132626
null,3,16,0.0160477
null,3,17,0.000132626
null,3,18,0.000132626
null,3,19,0.000132626
null,3,20,0.000132626
null,4,1,9.3985e-05
null,4,2,0.186184
null,4,3,0.379793
null,4,4,0.0602444
null,4,5,0.0207707
null,4,6,0.0226504
null,4,7,9.3985e-05
null,4,8,9.3985e-05
null,4,9,9.3985e-05
null,4,10,9.3985e-05
null,4,11,0.0940789
null,4,12,0.184305
null,4,13,9.3985e-05
null,4,14,0.0358083
null,4,15,0.00761278
null,4,16,0.00197368
null,4,17,9.3985e-05
null,4,18,0.00573308
null,4,19,9.3985e-05
null,4,20,9.3985e-05
null,5,1,0.000121065
null,5,2,0.000121065
null,5,3,0.00254237
null,5,4,0.0146489
null,5,5,0.0630751
null,5,6,0.000121065
null,5,7,0.278571
null,5,8,0.00254237
null,5,9,0.000121065
null,5,10,0.0122276
null,5,11,0.000121065
null,5,12,0.462591
null,5,13,0.000121065
null,5,14,0.00254237
null,5,15,0.000121065
null,5,16,0.12845
null,5,17,0.000121065
null,5,18,0.000121065
null,5,19,0.0170702
null,5,20,0.0146489
null,6,1,4.01929e-05
null,6,2,0.0104904
null,6,3,0.0458601
null,6,4,0.0129019
null,6,5,4.01929e-05
null,6,6,0.209847
null,6,7,0.0418408
null,6,8,4.01929e-05
null,6,9,4.01929e-05
null,6,10,4.01929e-05
null,6,11,4.01929e-05
null,6,12,0.00727492
null,6,13,4.01929e-05
null,6,14,0.604542
null,6,15,4.01929e-05
null,6,16,0.0595257
null,6,17,4.01929e-05
null,6,18,0.00727492
null,6,19,4.01929e-05
null,6,20,4.01929e-05
null,7,1,5.9952e-05
null,7,2,0.00605516
null,7,3,0.0072542
null,7,4,0.0108513
null,7,5,5.9952e-05
null,7,6,0.0072542
null,7,7,0.636751
null,7,8,5.9952e-05
null,7,9,0.0168465
null,7,10,0.0192446
null,7,11,0.00965228
null,7,12,5.9952e-05
null,7,13,5.9952e-05
null,7,14,0.0132494
null,7,15,5.9952e-05
null,7,16,0.248261
null,7,17,5.9952e-05
null,7,18,5.9952e-05
null,7,19,0.00605516
null,7,20,0.0180456
null,8,1,0.000233645
null,8,2,0.000233645
null,8,3,0.0516355
null,8,4,0.135748
null,8,5,0.145093
null,8,6,0.000233645
null,8,7,0.000233645
null,8,8,0.000233645
null,8,9,0.000233645
null,8,10,0.000233645
null,8,11,0.000233645
null,8,12,0.626402
null,8,13,0.000233645
null,8,14,0.0142523
null,8,15,0.000233645
null,8,16,0.000233645
null,8,17,0.000233645
null,8,18,0.0235981
null,8,19,0.000233645
null,8,20,0.000233645
null,9,1,0.00010846
null,9,2,0.00010846
null,9,3,0.0152928
null,9,4,0.950217
null,9,5,0.00010846
null,9,6,0.00010846
null,9,7,0.0131236
null,9,8,0.00010846
