inference,topic,vocabulary,count
true,1,4,4e-06
true,1,5,0.499436
true,1,6,3e-06
true,1,8,0.001111
true,1,9,2e-06
true,1,10,3.5e-05
true,1,11,0.078599
true,1,12,0.112203
true,1,13,1e-06
true,1,14,0.001548
true,1,15,5.1e-05
true,1,16,1.6e-05
true,1,18,0.038214
true,1,19,0.268255
true,1,20,0.000522
true,2,3,0.024062
true,2,4,3.5e-05
true,2,5,5e-06
true,2,6,0.004389
true,2,9,0.547379
true,2,10,0.020325
true,2,11,0.000747
true,2,12,5e-05
true,2,13,0.012932
true,2,14,2e-06
true,2,15,0.009447
true,2,16,5.6e-05
true,2,17,0.009409
true,2,18,0.37116
true,3,4,0.018953
true,3,6,1e-06
true,3,7,0.22826
true,3,9,0.004739
true,3,10,0.620698
true,3,11,0.000211
true,3,12,2e-06
true,3,13,0.0526
true,3,14,2e-06
true,3,16,0.047936
true,3,17,0.000116
true,3,18,1e-06
true,3,19,1e-06
true,3,20,0.026477
true,4,1,0.094301
true,4,2,0.006116
true,4,4,0.038259
true,4,5,0.006726
true,4,6,0.01693
true,4,7,4.1e-05
true,4,8,0.039009
true,4,11,0.019452
true,4,12,0.01464
true,4,13,0.0001
true,4,14,0.358518
true,4,15,0.03861
true,4,16,0.314944
true,4,17,0.0497
true,4,19,0.002653
true,5,1,0.035113
true,5,2,0.143192
true,5,3,1.5e-05
true,5,4,3e-06
true,5,6,0.010808
true,5,7,0.00216
true,5,8,0.000941
true,5,9,0.006251
true,5,10,0.010612
true,5,11,3.2e-05
true,5,12,0.096525
true,5,13,3.4e-05
true,5,14,0.000303
true,5,15,0.538375
true,5,17,0.000141
true,5,18,0.077756
true,5,19,0.075566
true,5,20,0.002173
null,1,1,0.000131926
null,1,2,0.000131926
null,1,3,0.000131926
null,1,4,0.000131926
null,1,5,0.329947
null,1,6,0.000131926
null,1,7,0.000131926
null,1,8,0.000131926
null,1,9,0.176913
null,1,10,0.000131926
null,1,11,0.0634565
null,1,12,0.0344327
null,1,13,0.0186016
null,1,14,0.0317942
null,1,15,0.000131926
null,1,16,0.000131926
null,1,17,0.000131926
null,1,18,0.190106
null,1,19,0.153166
null,1,20,0.000131926
null,2,1,6.80272e-05
null,2,2,6.80272e-05
null,2,3,0.00142857
null,2,4,6.80272e-05
null,2,5,0.47898
null,2,6,6.80272e-05
null,2,7,6.80272e-05
null,2,8,6.80272e-05
null,2,9,6.80272e-05
null,2,10,0.03
null,2,11,0.0517687
null,2,12,0.111633
null,2,13,0.00142857
null,2,14,6.80272e-05
null,2,15,0.0218367
null,2,16,6.80272e-05
null,2,17,6.80272e-05
null,2,18,0.0612925
null,2,19,0.236803
null,2,20,0.00414966
null,3,1,0.00294118
null,3,2,0.00294118
null,3,3,0.00294118
null,3,4,0.00294118
null,3,5,0.414706
null,3,6,0.00294118
null,3,7,0.00294118
null,3,8,0.414706
null,3,9,0.00294118
null,3,10,0.00294118
null,3,11,0.120588
null,3,12,0.00294118
null,3,13,0.00294118
null,3,14,0.00294118
null,3,15,0.00294118
null,3,16,0.00294118
null,3,17,0.00294118
null,3,18,0.00294118
null,3,19,0.00294118
null,3,20,0.00294118
null,4,1,4.32526e-05
null,4,2,4.32526e-05
null,4,3,0.0233997
null,4,4,4.32526e-05
null,4,5,4.32526e-05
null,4,6,0.00696367
null,4,7,0.00609862
null,4,8,4.32526e-05
null,4,9,0.539836
null,4,10,0.0363754
null,4,11,4.32526e-05
null,4,12,4.32526e-05
null,4,13,0.012154
null,4,14,0.00869377
null,4,15,0.0225346
null,4,16,0.00350346
null,4,17,0.00609862
null,4,18,0.328763
null,4,19,0.00350346
null,4,20,0.00177336
null,5,1,4.41696e-05
null,5,2,4.41696e-05
null,5,3,4.41696e-05
null,5,4,0.022129
null,5,5,4.41696e-05
null,5,6,4.41696e-05
null,5,7,0.223542
null,5,8,0.00181095
null,5,9,4.41696e-05
null,5,10,0.623719
null,5,11,0.0115283
null,5,12,4.41696e-05
null,5,13,0.0397968
null,5,14,4.41696e-05
null,5,15,4.41696e-05
null,5,16,0.0459806
null,5,17,0.00446113
null,5,18,0.00269435
null,5,19,4.41696e-05
null,5,20,0.0238958
null,6,1,0.0904635
null,6,2,0.00991641
