inference,topic,vocabulary,count
true,1,2,0.576662
true,1,4,0.013462
true,1,5,1.4e-05
true,1,7,0.002987
true,1,8,0.00675
true,1,9,6.2e-05
true,1,11,0.154966
true,1,13,0.000177
true,1,14,0.00048
true,1,15,0.070076
true,1,17,0.053732
true,1,18,3e-06
true,1,19,0.077529
true,1,20,0.0431
true,2,1,0.003391
true,2,2,7.8e-05
true,2,3,0.458188
true,2,5,3.6e-05
true,2,7,1e-06
true,2,8,0.000298
true,2,11,0.322822
true,2,12,0.000181
true,2,13,4e-06
true,2,14,1.3e-05
true,2,16,0.000518
true,2,17,9.2e-05
true,2,18,0.212352
true,2,19,0.00141
true,2,20,0.000615
true,3,1,1.2e-05
true,3,2,0.021901
true,3,3,0.009029
true,3,4,0.154422
true,3,5,2.4e-05
true,3,6,0.041041
true,3,7,2e-06
true,3,9,0.619589
true,3,11,0.013503
true,3,12,0.004594
true,3,13,6.6e-05
true,3,14,0.088486
true,3,16,0.030409
true,3,18,0.014207
true,3,19,0.002716
true,4,1,0.04375
true,4,2,6e-06
true,4,3,0.017111
true,4,4,0.214676
true,4,5,0.022679
true,4,6,0.019731
true,4,7,3e-06
true,4,8,2.1e-05
true,4,9,0.302061
true,4,10,1e-06
true,4,11,0.004963
true,4,12,0.26018
true,4,13,0.021082
true,4,16,0.093735
true,4,20,2e-06
true,5,1,4.8e-05
true,5,2,0.001082
true,5,4,0.01695
true,5,8,1e-06
true,5,9,0.001317
true,5,10,0.08857
true,5,11,0.07665
true,5,12,0.000671
true,5,13,6.7e-05
true,5,15,0.08077
true,5,16,9.1e-05
true,5,17,0.000184
true,5,18,2e-06
true,5,19,0.733579
true,5,20,1.7e-05
null,1,1,0.00366075
null,1,2,0.484334
null,1,3,0.00366075
null,1,4,0.0386767
null,1,5,2.27376e-05
null,1,6,0.0022965
null,1,7,0.00184175
null,1,8,0.00502501
null,1,9,0.0691451
null,1,10,2.27376e-05
null,1,11,0.120987
null,1,12,0.0223056
null,1,13,2.27376e-05
null,1,14,0.0145748
null,1,15,0.061869
null,1,16,0.0109368
null,1,17,0.0441337
null,1,18,2.27376e-05
null,1,19,0.0746021
null,1,20,0.0418599
null,2,1,4.81232e-05
null,2,2,0.498604
null,2,3,0.00486044
null,2,4,4.81232e-05
null,2,5,0.00101059
null,2,6,4.81232e-05
null,2,7,0.00389798
null,2,8,0.00389798
null,2,9,4.81232e-05
null,2,10,4.81232e-05
null,2,11,0.180029
null,2,12,4.81232e-05
null,2,13,4.81232e-05
null,2,14,4.81232e-05
null,2,15,0.0731954
null,2,16,4.81232e-05
null,2,17,0.055871
null,2,18,4.81232e-05
null,2,19,0.14153
null,2,20,0.0366218
null,3,1,0.00445479
null,3,2,0.00356826
null,3,3,0.457469
null,3,4,0.00356826
null,3,5,2.21631e-05
null,3,6,2.21631e-05
null,3,7,2.21631e-05
null,3,8,2.21631e-05
null,3,9,0.0119902
null,3,10,0.00135195
null,3,11,0.291689
null,3,12,0.00755762
null,3,13,0.000908688
null,3,14,0.00179521
null,3,15,2.21631e-05
