topic, pmi, sc, its, alpha, gamma, eta, inference
0,68.3206,-323.823,510,1e-05,1e-05,0.00114811,null
1,76.972,-286.728,503,1e-05,1e-05,0.00114811,null
2,35.4008,-267.584,501,1e-05,1e-05,0.00114811,null
3,47.2465,-361.216,506,1e-05,1e-05,0.00114811,null
4,55.213,-302.2,505,1e-05,1e-05,0.00114811,null
5,55.332,-217.16,505,1e-05,1e-05,0.00114811,null
6,37.9157,-316.477,469,1e-05,1e-05,0.00114811,null
7,61.4497,-310.589,501,1e-05,1e-05,0.00114811,null
8,45.9999,-290.701,498,1e-05,1e-05,0.00114811,null
9,43.7617,-266.388,515,1e-05,1e-05,0.00114811,null
10,53.4685,-189.911,515,1e-05,1e-05,0.00114811,null
11,55.0739,-331.666,500,1e-05,1e-05,0.00114811,null
12,76.1153,-245.893,492,1e-05,1e-05,0.00114811,null
13,50.8937,-314.759,492,1e-05,1e-05,0.00114811,null
14,38.6471,-320.653,516,1e-05,1e-05,0.00114811,null
15,48.1943,-344.1,491,1e-05,1e-05,0.00114811,null
16,59.385,-276.411,499,1e-05,1e-05,0.00114811,null
17,60.9713,-252.615,497,1e-05,1e-05,0.00114811,null
18,58.7815,-341.838,515,1e-05,1e-05,0.00114811,null
19,41.6121,-284.325,508,1e-05,1e-05,0.00114811,null
20,66.8951,-361.038,495,1e-05,1e-05,0.00114811,null
21,77.6085,-301.311,486,1e-05,1e-05,0.00114811,null
22,45.7018,-342.895,500,1e-05,1e-05,0.00114811,null
23,73.7209,-277.532,504,1e-05,1e-05,0.00114811,null
24,25.6921,-254.629,512,1e-05,1e-05,0.00114811,null
25,81.3419,-346.831,477,1e-05,1e-05,0.00114811,null
26,42.7397,-278.18,500,1e-05,1e-05,0.00114811,null
27,41.0956,-264.07,500,1e-05,1e-05,0.00114811,null
28,50.2404,-397.416,502,1e-05,1e-05,0.00114811,null
29,28.9404,-251.88,512,1e-05,1e-05,0.00114811,null
30,44.321,-347.552,507,1e-05,1e-05,0.00114811,null
31,44.924,-380.255,514,1e-05,1e-05,0.00114811,null
32,-0.933357,-355.149,506,1e-05,1e-05,0.00114811,null
33,39.7064,-373.383,504,1e-05,1e-05,0.00114811,null
34,63.6605,-378.378,508,1e-05,1e-05,0.00114811,null
35,50.6784,-394.442,507,1e-05,1e-05,0.00114811,null
36,41.109,-349.041,513,1e-05,1e-05,0.00114811,null
37,14.4579,-348.531,512,1e-05,1e-05,0.00114811,null
38,29.3484,-403.539,510,1e-05,1e-05,0.00114811,null
39,27.5946,-280.792,513,1e-05,1e-05,0.00114811,null
40,76.8238,-242.815,515,1e-05,1e-05,0.00114811,null
41,7.21335,-410.527,508,1e-05,1e-05,0.00114811,null
42,31.2119,-386.566,512,1e-05,1e-05,0.00114811,null
43,11.6396,-475.133,507,1e-05,1e-05,0.00114811,null
44,31.8081,-384.354,504,1e-05,1e-05,0.00114811,null
45,30.7675,-403.177,502,1e-05,1e-05,0.00114811,null
46,10.9222,-289.383,508,1e-05,1e-05,0.00114811,null
47,47.7871,-259.7,494,1e-05,1e-05,0.00114811,null
48,5.86251,-361.745,506,1e-05,1e-05,0.00114811,null
