topic, pmi, sc, its, alpha, gamma, eta, inference
19,45.8864,-385.691,641,0.0001,0.0001,0.00114811,crs
20,76.5002,-206.126,636,0.0001,0.0001,0.00114811,crs
21,28.6136,-244.352,648,0.0001,0.0001,0.00114811,crs
22,72.5336,-258.314,636,0.0001,0.0001,0.00114811,crs
23,39.1621,-339.562,645,0.0001,0.0001,0.00114811,crs
24,63.9707,-312.97,655,0.0001,0.0001,0.00114811,crs
25,29.9841,-280.504,653,0.0001,0.0001,0.00114811,crs
26,-23.263,-264.064,639,0.0001,0.0001,0.00114811,crs
27,76.972,-297.341,640,0.0001,0.0001,0.00114811,crs
28,62.6612,-325.395,647,0.0001,0.0001,0.00114811,crs
29,31.5075,-410.379,646,0.0001,0.0001,0.00114811,crs
30,-13.4791,-353.793,653,0.0001,0.0001,0.00114811,crs
31,44.321,-352.028,651,0.0001,0.0001,0.00114811,crs
32,41.1684,-388.535,650,0.0001,0.0001,0.00114811,crs
33,50.3052,-241.158,640,0.0001,0.0001,0.00114811,crs
34,38.6781,-281.711,649,0.0001,0.0001,0.00114811,crs
35,85.1692,-313.278,626,0.0001,0.0001,0.00114811,crs
36,33.7357,-358.481,647,0.0001,0.0001,0.00114811,crs
37,48.6212,-350.006,649,0.0001,0.0001,0.00114811,crs
38,32.7164,-306.756,647,0.0001,0.0001,0.00114811,crs
39,31.3115,-391.837,650,0.0001,0.0001,0.00114811,crs
40,27.2238,-382.156,631,0.0001,0.0001,0.00114811,crs
41,66.6449,-344.671,634,0.0001,0.0001,0.00114811,crs
42,0.403568,-441.735,634,0.0001,0.0001,0.00114811,crs
43,-0.709032,-295.926,651,0.0001,0.0001,0.00114811,crs
44,26.6325,-425.828,640,0.0001,0.0001,0.00114811,crs
45,7.95692,-396.93,624,0.0001,0.0001,0.00114811,crs
46,56.5853,-429.048,643,0.0001,0.0001,0.00114811,crs
47,-5.34303,-349.506,637,0.0001,0.0001,0.00114811,crs
48,43.4617,-419.073,636,0.0001,0.0001,0.00114811,crs
49,39.7745,-368.684,647,0.0001,0.0001,0.00114811,crs
50,72.6197,-295.052,655,0.0001,0.0001,0.00114811,crs
51,47.6596,-355.263,647,0.0001,0.0001,0.00114811,crs
52,22.6409,-366.155,640,0.0001,0.0001,0.00114811,crs
53,30.5674,-344.497,638,0.0001,0.0001,0.00114811,crs
54,37.8866,-273.759,626,0.0001,0.0001,0.00114811,crs
55,-18.7548,-464.554,636,0.0001,0.0001,0.00114811,crs
56,30.9842,-338.892,649,0.0001,0.0001,0.00114811,crs
57,41.7975,-285.249,646,0.0001,0.0001,0.00114811,crs
58,19.077,-337.118,646,0.0001,0.0001,0.00114811,crs
59,46.9491,-274.31,650,0.0001,0.0001,0.00114811,crs
60,46.6381,-434.148,632,0.0001,0.0001,0.00114811,crs
61,53.0228,-330.655,652,0.0001,0.0001,0.00114811,crs
62,34.7145,-414.383,646,0.0001,0.0001,0.00114811,crs
63,34.9362,-270.749,652,0.0001,0.0001,0.00114811,crs
64,34.1461,-466.78,639,0.0001,0.0001,0.00114811,crs
