topic, metric, value, alpha, gamma, eta, inference, dataset
7,itd,9.9375,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
8,pmi,87.8383,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
8,coh,-314.859,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
8,itd,10,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
9,pmi,288.737,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
9,coh,-304.798,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
9,itd,10,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
10,pmi,57.2997,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
10,coh,-312.164,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
10,itd,9.8125,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
11,pmi,90.2287,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
11,coh,-186.487,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
11,itd,9.6875,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
12,pmi,57.7248,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
12,coh,-287.085,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
12,itd,10,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
13,pmi,77.0197,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
13,coh,-302.346,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
13,itd,10,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
14,pmi,74.9338,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
14,coh,-297.927,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
14,itd,9.9375,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
15,pmi,74.7522,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
15,coh,-295.457,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
15,itd,9.625,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
16,pmi,45.5271,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
16,coh,-268.785,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
16,itd,9.8125,1.00E-05,1.00E-05,0.000154,crs,ap-50-set3
0,pmi,46.9643,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
0,coh,-318.687,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
0,itd,9.84211,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
1,pmi,73.2032,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
1,coh,-356.646,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
1,itd,9.89474,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
2,pmi,81.9283,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
2,coh,-334.279,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
2,itd,9.63158,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
3,pmi,142.089,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
3,coh,-186.623,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
3,itd,9.94737,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
4,pmi,65.7281,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
4,coh,-267.974,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
4,itd,10,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
5,pmi,51.883,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
5,coh,-269.142,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
5,itd,9.94737,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
6,pmi,44.5627,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
6,coh,-220.282,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
6,itd,9.78947,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
7,pmi,56.032,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
7,coh,-278.789,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
7,itd,9.78947,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
8,pmi,87.0942,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
