inference,topic,vocabulary,count
"true",1,1,628
"true",1,2,579
"true",1,3,568
"true",1,4,613
"true",1,5,559
"true",2,6,618
"true",2,7,598
"true",2,8,542
"true",2,9,611
"true",2,10,585
"true",3,11,654
"true",3,12,679
"true",3,13,695
"true",3,14,631
"true",3,15,643
"true",4,16,661
"true",4,17,655
"true",4,18,647
"true",4,19,635
"true",4,20,631
"true",5,21,502
"true",5,22,536
"true",5,23,522
"true",5,24,545
"true",5,25,527
"null",1,10,2
"null",1,16,2
"null",2,1,573
"null",2,2,542
"null",2,3,611
"null",2,4,618
"null",2,5,598
"null",2,7,11
"null",2,8,1
"null",2,11,9
"null",3,6,527
"null",3,7,534
"null",3,8,521
"null",3,9,536
"null",3,10,500
"null",3,12,1
"null",3,17,5
"null",4,1,12
"null",4,11,622
"null",4,12,660
"null",4,13,655
"null",4,14,647
"null",4,15,635
"null",5,16,611
"null",5,17,563
"null",5,18,579
"null",5,19,611
"null",5,20,559
"null",6,19,17
"null",6,21,679
"null",6,22,654
"null",6,23,631
"null",6,24,695
"null",6,25,643
"crs",1,1,575
"crs",1,2,542
"crs",1,3,610
"crs",1,4,618
"crs",1,5,598
"crs",2,6,527
"crs",2,7,545
"crs",2,8,520
"crs",2,9,536
"crs",2,10,496
"crs",2,12,1
"crs",3,10,6
"crs",3,11,631
"crs",3,12,655
"crs",3,13,655
"crs",3,14,647
"crs",3,15,634
"crs",4,3,1
"crs",4,8,2
"crs",4,15,1
"crs",4,16,613
"crs",4,17,568
"crs",4,18,579
"crs",4,19,624
"crs",4,20,559
"crs",5,1,10
"crs",5,12,5
"crs",5,19,4
"crs",5,21,679
"crs",5,22,654
"crs",5,23,631
"crs",5,24,695
"crs",5,25,643
"rand",1,8,3
"rand",1,9,6
"rand",2,4,12
"rand",2,17,13
"rand",3,1,572
"rand",3,2,542
"rand",3,3,611
"rand",3,4,606
"rand",3,5,593
"rand",3,12,3
"rand",3,25,2
"rand",4,6,527
"rand",4,7,545
"rand",4,8,515
"rand",4,9,530
"rand",4,10,502
"rand",4,25,1
"rand",5,1,3
"rand",5,5,5
"rand",5,8,4
"rand",5,11,631
"rand",5,12,658
"rand",5,13,655
"rand",5,14,647
"rand",5,15,635
"rand",6,16,613
"rand",6,17,555
"rand",6,18,579
"rand",6,19,628
"rand",6,20,559
"rand",7,1,10
"rand",7,21,679
"rand",7,22,654
"rand",7,23,631
"rand",7,24,695
"rand",7,25,640
"rgs",1,4,7
"rgs",1,14,2
"rgs",1,17,6
"rgs",1,24,3
"rgs",2,7,40
"rgs",2,8,8
"rgs",2,21,7
"rgs",3,1,585
"rgs",3,2,542
"rgs",3,3,610
"rgs",3,4,611
"rgs",3,5,598
"rgs",3,8,1
"rgs",3,19,2
"rgs",4,6,524
"rgs",4,7,505
"rgs",4,8,513
"rgs",4,9,536
"rgs",4,10,502
"rgs",4,17,4
"rgs",5,11,631
"rgs",5,12,659
"rgs",5,13,654
"rgs",5,14,645
"rgs",5,15,633
"rgs",5,17,2
"rgs",6,3,1
"rgs",6,13,1
"rgs",6,16,613
"rgs",6,17,556
"rgs",6,18,579
"rgs",6,19,626
"rgs",6,20,559
"rgs",7,6,3
"rgs",7,12,2
"rgs",7,15,2
"rgs",7,21,672
"rgs",7,22,654
"rgs",7,23,631
"rgs",7,24,692
"rgs",7,25,643
"sa",1,10,1
"sa",2,14,1
"sa",2,24,2
"sa",3,3,2
"sa",3,11,2
"sa",3,14,5
"sa",4,1,573
"sa",4,2,542
"sa",4,3,609
"sa",4,4,618
"sa",4,5,598
"sa",4,14,7
"sa",5,6,527
"sa",5,7,545
"sa",5,8,517
"sa",5,9,536
"sa",5,10,496
"sa",5,23,6
"sa",6,1,10
"sa",6,11,628
"sa",6,12,661
"sa",6,13,654
"sa",6,14,634
"sa",6,15,635
"sa",6,24,3
"sa",7,11,1
"sa",7,13,1
"sa",7,16,612
"sa",7,17,568
"sa",7,18,579
"sa",7,19,616
"sa",7,20,559
"sa",8,1,2
"sa",8,8,5
"sa",8,10,5
"sa",8,16,1
"sa",8,19,12
"sa",8,21,679
"sa",8,22,654
"sa",8,23,625
"sa",8,24,690
"sa",8,25,643
