topic, metric, value, alpha, gamma, eta, inference, dataset
0,pmi,48.8319,1.00E-05,1.00E-05,0.001,null,ap-50-set2
0,coh,-210.208,1.00E-05,1.00E-05,0.001,null,ap-50-set2
0,itd,9.53846,1.00E-05,1.00E-05,0.001,null,ap-50-set2
1,pmi,84.5078,1.00E-05,1.00E-05,0.001,null,ap-50-set2
1,coh,-337.694,1.00E-05,1.00E-05,0.001,null,ap-50-set2
1,itd,9.87179,1.00E-05,1.00E-05,0.001,null,ap-50-set2
2,pmi,82.8692,1.00E-05,1.00E-05,0.001,null,ap-50-set2
2,coh,-320.474,1.00E-05,1.00E-05,0.001,null,ap-50-set2
2,itd,9.64103,1.00E-05,1.00E-05,0.001,null,ap-50-set2
3,pmi,75.6869,1.00E-05,1.00E-05,0.001,null,ap-50-set2
3,coh,-342.759,1.00E-05,1.00E-05,0.001,null,ap-50-set2
3,itd,9.82051,1.00E-05,1.00E-05,0.001,null,ap-50-set2
4,pmi,56.032,1.00E-05,1.00E-05,0.001,null,ap-50-set2
4,coh,-288.397,1.00E-05,1.00E-05,0.001,null,ap-50-set2
4,itd,9.82051,1.00E-05,1.00E-05,0.001,null,ap-50-set2
5,pmi,66.2713,1.00E-05,1.00E-05,0.001,null,ap-50-set2
5,coh,-266.269,1.00E-05,1.00E-05,0.001,null,ap-50-set2
5,itd,9.87179,1.00E-05,1.00E-05,0.001,null,ap-50-set2
6,pmi,92.633,1.00E-05,1.00E-05,0.001,null,ap-50-set2
6,coh,-160.646,1.00E-05,1.00E-05,0.001,null,ap-50-set2
6,itd,9.97436,1.00E-05,1.00E-05,0.001,null,ap-50-set2
7,pmi,68.6654,1.00E-05,1.00E-05,0.001,null,ap-50-set2
7,coh,-284.678,1.00E-05,1.00E-05,0.001,null,ap-50-set2
7,itd,9.92308,1.00E-05,1.00E-05,0.001,null,ap-50-set2
8,pmi,94.7595,1.00E-05,1.00E-05,0.001,null,ap-50-set2
8,coh,-299.451,1.00E-05,1.00E-05,0.001,null,ap-50-set2
8,itd,9.84615,1.00E-05,1.00E-05,0.001,null,ap-50-set2
9,pmi,87.8383,1.00E-05,1.00E-05,0.001,null,ap-50-set2
9,coh,-328.955,1.00E-05,1.00E-05,0.001,null,ap-50-set2
9,itd,10,1.00E-05,1.00E-05,0.001,null,ap-50-set2
10,pmi,136.714,1.00E-05,1.00E-05,0.001,null,ap-50-set2
10,coh,-269.267,1.00E-05,1.00E-05,0.001,null,ap-50-set2
10,itd,9.97436,1.00E-05,1.00E-05,0.001,null,ap-50-set2
11,pmi,66.3562,1.00E-05,1.00E-05,0.001,null,ap-50-set2
11,coh,-296.606,1.00E-05,1.00E-05,0.001,null,ap-50-set2
11,itd,9.87179,1.00E-05,1.00E-05,0.001,null,ap-50-set2
12,pmi,89.7748,1.00E-05,1.00E-05,0.001,null,ap-50-set2
12,coh,-241.089,1.00E-05,1.00E-05,0.001,null,ap-50-set2
12,itd,9.87179,1.00E-05,1.00E-05,0.001,null,ap-50-set2
13,pmi,61.2482,1.00E-05,1.00E-05,0.001,null,ap-50-set2
13,coh,-300.208,1.00E-05,1.00E-05,0.001,null,ap-50-set2
13,itd,9.87179,1.00E-05,1.00E-05,0.001,null,ap-50-set2
14,pmi,55.0832,1.00E-05,1.00E-05,0.001,null,ap-50-set2
14,coh,-323.205,1.00E-05,1.00E-05,0.001,null,ap-50-set2
14,itd,9.92308,1.00E-05,1.00E-05,0.001,null,ap-50-set2
15,pmi,85.2432,1.00E-05,1.00E-05,0.001,null,ap-50-set2
15,coh,-310.547,1.00E-05,1.00E-05,0.001,null,ap-50-set2
15,itd,9.87179,1.00E-05,1.00E-05,0.001,null,ap-50-set2
16,pmi,69.4961,1.00E-05,1.00E-05,0.001,null,ap-50-set2
16,coh,-256.618,1.00E-05,1.00E-05,0.001,null,ap-50-set2
16,itd,9.69231,1.00E-05,1.00E-05,0.001,null,ap-50-set2
17,pmi,37.896,1.00E-05,1.00E-05,0.001,null,ap-50-set2
17,coh,-310.444,1.00E-05,1.00E-05,0.001,null,ap-50-set2
17,itd,9.79487,1.00E-05,1.00E-05,0.001,null,ap-50-set2
18,pmi,65.5455,1.00E-05,1.00E-05,0.001,null,ap-50-set2
18,coh,-361.972,1.00E-05,1.00E-05,0.001,null,ap-50-set2
18,itd,9.89744,1.00E-05,1.00E-05,0.001,null,ap-50-set2
19,pmi,89.9706,1.00E-05,1.00E-05,0.001,null,ap-50-set2
19,coh,-277.406,1.00E-05,1.00E-05,0.001,null,ap-50-set2
19,itd,9.66667,1.00E-05,1.00E-05,0.001,null,ap-50-set2
20,pmi,69.203,1.00E-05,1.00E-05,0.001,null,ap-50-set2
20,coh,-232.678,1.00E-05,1.00E-05,0.001,null,ap-50-set2
20,itd,9.92308,1.00E-05,1.00E-05,0.001,null,ap-50-set2
21,pmi,110.495,1.00E-05,1.00E-05,0.001,null,ap-50-set2
21,coh,-315.317,1.00E-05,1.00E-05,0.001,null,ap-50-set2
21,itd,9.97436,1.00E-05,1.00E-05,0.001,null,ap-50-set2
22,pmi,57.2997,1.00E-05,1.00E-05,0.001,null,ap-50-set2
22,coh,-312.164,1.00E-05,1.00E-05,0.001,null,ap-50-set2
22,itd,9.74359,1.00E-05,1.00E-05,0.001,null,ap-50-set2
23,pmi,101.457,1.00E-05,1.00E-05,0.001,null,ap-50-set2
23,coh,-275.861,1.00E-05,1.00E-05,0.001,null,ap-50-set2
23,itd,9.97436,1.00E-05,1.00E-05,0.001,null,ap-50-set2
24,pmi,59.7507,1.00E-05,1.00E-05,0.001,null,ap-50-set2
24,coh,-217.318,1.00E-05,1.00E-05,0.001,null,ap-50-set2
24,itd,9.92308,1.00E-05,1.00E-05,0.001,null,ap-50-set2
25,pmi,76.8409,1.00E-05,1.00E-05,0.001,null,ap-50-set2
25,coh,-278.385,1.00E-05,1.00E-05,0.001,null,ap-50-set2
25,itd,9.82051,1.00E-05,1.00E-05,0.001,null,ap-50-set2
26,pmi,51.2369,1.00E-05,1.00E-05,0.001,null,ap-50-set2
26,coh,-291.169,1.00E-05,1.00E-05,0.001,null,ap-50-set2
26,itd,9.69231,1.00E-05,1.00E-05,0.001,null,ap-50-set2
27,pmi,72.2642,1.00E-05,1.00E-05,0.001,null,ap-50-set2
27,coh,-253.4,1.00E-05,1.00E-05,0.001,null,ap-50-set2
27,itd,10,1.00E-05,1.00E-05,0.001,null,ap-50-set2
28,pmi,48.1807,1.00E-05,1.00E-05,0.001,null,ap-50-set2
28,coh,-274.076,1.00E-05,1.00E-05,0.001,null,ap-50-set2
28,itd,9.94872,1.00E-05,1.00E-05,0.001,null,ap-50-set2
29,pmi,47.6924,1.00E-05,1.00E-05,0.001,null,ap-50-set2
29,coh,-287.005,1.00E-05,1.00E-05,0.001,null,ap-50-set2
29,itd,9.87179,1.00E-05,1.00E-05,0.001,null,ap-50-set2
30,pmi,77.3029,1.00E-05,1.00E-05,0.001,null,ap-50-set2
30,coh,-239.466,1.00E-05,1.00E-05,0.001,null,ap-50-set2
30,itd,9.76923,1.00E-05,1.00E-05,0.001,null,ap-50-set2
31,pmi,107.202,1.00E-05,1.00E-05,0.001,null,ap-50-set2
31,coh,-361.77,1.00E-05,1.00E-05,0.001,null,ap-50-set2
31,itd,9.82051,1.00E-05,1.00E-05,0.001,null,ap-50-set2
32,pmi,136.755,1.00E-05,1.00E-05,0.001,null,ap-50-set2
32,coh,-254.738,1.00E-05,1.00E-05,0.001,null,ap-50-set2
32,itd,10,1.00E-05,1.00E-05,0.001,null,ap-50-set2
33,pmi,37.0067,1.00E-05,1.00E-05,0.001,null,ap-50-set2
33,coh,-347.606,1.00E-05,1.00E-05,0.001,null,ap-50-set2
33,itd,9.79487,1.00E-05,1.00E-05,0.001,null,ap-50-set2
34,pmi,90.2287,1.00E-05,1.00E-05,0.001,null,ap-50-set2
34,coh,-186.487,1.00E-05,1.00E-05,0.001,null,ap-50-set2
34,itd,9.84615,1.00E-05,1.00E-05,0.001,null,ap-50-set2
35,pmi,104.805,1.00E-05,1.00E-05,0.001,null,ap-50-set2
