topic, pmi, sc, its, alpha, gamma, eta, inference
0,85.1639,-272.038,2470,0.001,0.001,0.00114811,smh1-sp0-mp0
1,85.3823,-351.927,2494,0.001,0.001,0.00114811,smh1-sp0-mp0
2,57.9486,-286.588,2483,0.001,0.001,0.00114811,smh1-sp0-mp0
3,48.8852,-417.582,2478,0.001,0.001,0.00114811,smh1-sp0-mp0
4,64.8108,-386.944,2428,0.001,0.001,0.00114811,smh1-sp0-mp0
5,40.9768,-308.972,2518,0.001,0.001,0.00114811,smh1-sp0-mp0
6,65.1236,-310.142,2485,0.001,0.001,0.00114811,smh1-sp0-mp0
7,60.4647,-321.315,2441,0.001,0.001,0.00114811,smh1-sp0-mp0
8,58.9284,-303.887,2505,0.001,0.001,0.00114811,smh1-sp0-mp0
9,47.4685,-284.085,2482,0.001,0.001,0.00114811,smh1-sp0-mp0
10,47.3935,-312.966,2498,0.001,0.001,0.00114811,smh1-sp0-mp0
11,49.1868,-277.016,2507,0.001,0.001,0.00114811,smh1-sp0-mp0
12,47.4173,-272.697,2489,0.001,0.001,0.00114811,smh1-sp0-mp0
13,139.477,-236.573,2502,0.001,0.001,0.00114811,smh1-sp0-mp0
14,63.2393,-264.47,2493,0.001,0.001,0.00114811,smh1-sp0-mp0
15,73.0211,-279.939,2492,0.001,0.001,0.00114811,smh1-sp0-mp0
16,50.7726,-235.915,2519,0.001,0.001,0.00114811,smh1-sp0-mp0
17,9.36098,-356.042,2475,0.001,0.001,0.00114811,smh1-sp0-mp0
18,38.88,-287.797,2500,0.001,0.001,0.00114811,smh1-sp0-mp0
19,57.5032,-374.615,2484,0.001,0.001,0.00114811,smh1-sp0-mp0
20,46.2671,-250.949,2528,0.001,0.001,0.00114811,smh1-sp0-mp0
21,70.403,-347.138,2463,0.001,0.001,0.00114811,smh1-sp0-mp0
22,61.363,-272.682,2479,0.001,0.001,0.00114811,smh1-sp0-mp0
23,40.0993,-434.299,2494,0.001,0.001,0.00114811,smh1-sp0-mp0
24,101.81,-341.872,2449,0.001,0.001,0.00114811,smh1-sp0-mp0
25,36.6225,-193.157,2511,0.001,0.001,0.00114811,smh1-sp0-mp0
26,63.5478,-393.365,2457,0.001,0.001,0.00114811,smh1-sp0-mp0
27,43.0011,-328.733,2434,0.001,0.001,0.00114811,smh1-sp0-mp0
28,-12.8074,-290.275,2497,0.001,0.001,0.00114811,smh1-sp0-mp0
29,49.7817,-265.901,2487,0.001,0.001,0.00114811,smh1-sp0-mp0
30,60.0638,-213.408,2468,0.001,0.001,0.00114811,smh1-sp0-mp0
31,78.4738,-378.64,2467,0.001,0.001,0.00114811,smh1-sp0-mp0
32,64.0665,-204.421,2475,0.001,0.001,0.00114811,smh1-sp0-mp0
33,62.2344,-325.906,2499,0.001,0.001,0.00114811,smh1-sp0-mp0
34,87.0352,-292.551,2460,0.001,0.001,0.00114811,smh1-sp0-mp0
35,75.9632,-174.448,2490,0.001,0.001,0.00114811,smh1-sp0-mp0
36,58.5064,-308.227,2505,0.001,0.001,0.00114811,smh1-sp0-mp0
37,23.918,-365.663,2402,0.001,0.001,0.00114811,smh1-sp0-mp0
38,37.9021,-341.573,2497,0.001,0.001,0.00114811,smh1-sp0-mp0
39,48.0346,-323.845,2507,0.001,0.001,0.00114811,smh1-sp0-mp0
40,112.895,-283.684,2490,0.001,0.001,0.00114811,smh1-sp0-mp0
41,20.2643,-257.632,2495,0.001,0.001,0.00114811,smh1-sp0-mp0
42,57.4782,-229.966,2477,0.001,0.001,0.00114811,smh1-sp0-mp0
43,56.882,-279.849,2500,0.001,0.001,0.00114811,smh1-sp0-mp0
44,51.3817,-312.275,2481,0.001,0.001,0.00114811,smh1-sp0-mp0
45,47.7006,-352.594,2503,0.001,0.001,0.00114811,smh1-sp0-mp0
46,41.5081,-287.71,2467,0.001,0.001,0.00114811,smh1-sp0-mp0
47,32.6874,-248.727,2507,0.001,0.001,0.00114811,smh1-sp0-mp0
48,107.692,-344.645,2439,0.001,0.001,0.00114811,smh1-sp0-mp0
49,94.439,-328.58,2487,0.001,0.001,0.00114811,smh1-sp0-mp0
50,41.1605,-268.101,2434,0.001,0.001,0.00114811,smh1-sp0-mp0
51,49.2374,-380.343,2480,0.001,0.001,0.00114811,smh1-sp0-mp0
52,62.9153,-283.405,2438,0.001,0.001,0.00114811,smh1-sp0-mp0
53,93.1553,-364.34,2457,0.001,0.001,0.00114811,smh1-sp0-mp0
54,68.1517,-189.865,2470,0.001,0.001,0.00114811,smh1-sp0-mp0
55,78.5145,-336.185,2485,0.001,0.001,0.00114811,smh1-sp0-mp0
56,70.4366,-337.282,2513,0.001,0.001,0.00114811,smh1-sp0-mp0
57,47.8522,-235.022,2503,0.001,0.001,0.00114811,smh1-sp0-mp0
58,49.7911,-259.294,2350,0.001,0.001,0.00114811,smh1-sp0-mp0
59,81.7623,-288.774,2490,0.001,0.001,0.00114811,smh1-sp0-mp0
60,48.108,-387.288,2421,0.001,0.001,0.00114811,smh1-sp0-mp0
61,57.733,-381.456,2432,0.001,0.001,0.00114811,smh1-sp0-mp0
62,67.4682,-304.625,2467,0.001,0.001,0.00114811,smh1-sp0-mp0
63,40.2082,-197.665,2415,0.001,0.001,0.00114811,smh1-sp0-mp0
64,30.0978,-335.88,2411,0.001,0.001,0.00114811,smh1-sp0-mp0
65,85.3416,-229.6,2447,0.001,0.001,0.00114811,smh1-sp0-mp0
66,8.51955,-260.722,2459,0.001,0.001,0.00114811,smh1-sp0-mp0
67,57.9892,-267.106,2491,0.001,0.001,0.00114811,smh1-sp0-mp0
68,63.2754,-230.845,2498,0.001,0.001,0.00114811,smh1-sp0-mp0
