topic, metric, value, alpha, gamma, eta, inference, dataset
38,pmi,24.8586,1e-05,1e-05,0.000114,null,denews-25-set1
38,coh,-340.994,1e-05,1e-05,0.000114,null,denews-25-set1
38,itd,9.86667,1e-05,1e-05,0.000114,null,denews-25-set1
39,pmi,163.871,1e-05,1e-05,0.000114,null,denews-25-set1
39,coh,-244.617,1e-05,1e-05,0.000114,null,denews-25-set1
39,itd,9.97778,1e-05,1e-05,0.000114,null,denews-25-set1
40,pmi,163.645,1e-05,1e-05,0.000114,null,denews-25-set1
40,coh,-274.114,1e-05,1e-05,0.000114,null,denews-25-set1
40,itd,9.95556,1e-05,1e-05,0.000114,null,denews-25-set1
41,pmi,78.9523,1e-05,1e-05,0.000114,null,denews-25-set1
41,coh,-220.648,1e-05,1e-05,0.000114,null,denews-25-set1
41,itd,9.84444,1e-05,1e-05,0.000114,null,denews-25-set1
42,pmi,165.698,1e-05,1e-05,0.000114,null,denews-25-set1
42,coh,-294.818,1e-05,1e-05,0.000114,null,denews-25-set1
42,itd,9.97778,1e-05,1e-05,0.000114,null,denews-25-set1
43,pmi,92.0027,1e-05,1e-05,0.000114,null,denews-25-set1
43,coh,-277.327,1e-05,1e-05,0.000114,null,denews-25-set1
43,itd,10,1e-05,1e-05,0.000114,null,denews-25-set1
44,pmi,122.284,1e-05,1e-05,0.000114,null,denews-25-set1
44,coh,-308.484,1e-05,1e-05,0.000114,null,denews-25-set1
44,itd,9.91111,1e-05,1e-05,0.000114,null,denews-25-set1
45,pmi,155.02,1e-05,1e-05,0.000114,null,denews-25-set1
45,coh,-323.338,1e-05,1e-05,0.000114,null,denews-25-set1
45,itd,10,1e-05,1e-05,0.000114,null,denews-25-set1
0,pmi,70.3641,1e-05,1e-05,0.000114,crs,denews-25-set1
0,coh,-344.762,1e-05,1e-05,0.000114,crs,denews-25-set1
0,itd,9.98113,1e-05,1e-05,0.000114,crs,denews-25-set1
1,pmi,194.644,1e-05,1e-05,0.000114,crs,denews-25-set1
1,coh,-348.004,1e-05,1e-05,0.000114,crs,denews-25-set1
1,itd,9.96226,1e-05,1e-05,0.000114,crs,denews-25-set1
2,pmi,44.834,1e-05,1e-05,0.000114,crs,denews-25-set1
2,coh,-252.598,1e-05,1e-05,0.000114,crs,denews-25-set1
2,itd,10,1e-05,1e-05,0.000114,crs,denews-25-set1
3,pmi,56.7282,1e-05,1e-05,0.000114,crs,denews-25-set1
3,coh,-238.109,1e-05,1e-05,0.000114,crs,denews-25-set1
3,itd,9.79245,1e-05,1e-05,0.000114,crs,denews-25-set1
4,pmi,73.1605,1e-05,1e-05,0.000114,crs,denews-25-set1
4,coh,-270.399,1e-05,1e-05,0.000114,crs,denews-25-set1
4,itd,9.92453,1e-05,1e-05,0.000114,crs,denews-25-set1
5,pmi,111.018,1e-05,1e-05,0.000114,crs,denews-25-set1
5,coh,-237.729,1e-05,1e-05,0.000114,crs,denews-25-set1
5,itd,9.98113,1e-05,1e-05,0.000114,crs,denews-25-set1
6,pmi,63.7787,1e-05,1e-05,0.000114,crs,denews-25-set1
6,coh,-388.784,1e-05,1e-05,0.000114,crs,denews-25-set1
6,itd,10,1e-05,1e-05,0.000114,crs,denews-25-set1
7,pmi,54.2936,1e-05,1e-05,0.000114,crs,denews-25-set1
7,coh,-298.125,1e-05,1e-05,0.000114,crs,denews-25-set1
7,itd,9.92453,1e-05,1e-05,0.000114,crs,denews-25-set1
8,pmi,84.4952,1e-05,1e-05,0.000114,crs,denews-25-set1
8,coh,-294.848,1e-05,1e-05,0.000114,crs,denews-25-set1
8,itd,10,1e-05,1e-05,0.000114,crs,denews-25-set1
9,pmi,56.0564,1e-05,1e-05,0.000114,crs,denews-25-set1
9,coh,-224.474,1e-05,1e-05,0.000114,crs,denews-25-set1
9,itd,9.88679,1e-05,1e-05,0.000114,crs,denews-25-set1
10,pmi,123.011,1e-05,1e-05,0.000114,crs,denews-25-set1
10,coh,-309.566,1e-05,1e-05,0.000114,crs,denews-25-set1
10,itd,9.96226,1e-05,1e-05,0.000114,crs,denews-25-set1
11,pmi,165.667,1e-05,1e-05,0.000114,crs,denews-25-set1
11,coh,-276.972,1e-05,1e-05,0.000114,crs,denews-25-set1
11,itd,10,1e-05,1e-05,0.000114,crs,denews-25-set1
12,pmi,224.736,1e-05,1e-05,0.000114,crs,denews-25-set1
